ip_addr,port,ip version,end point,count,sum of frame size,packet/s,Throughput,
125.25.210.235,43524,0,0,1470.0,206186.0,24.5,3436.43333333333,
158.108.4.227,31839,0,1,1470.0,206186.0,24.5,3436.43333333333,
158.108.219.15,51072,0,1,1452.0,109868.0,24.2,1831.13333333333,
202.28.85.76,44043,0,1,1450.0,120106.0,24.1666666666667,2001.76666666667,
158.108.131.2,20480,0,0,1448.0,95540.0,24.1333333333333,1592.33333333333,
158.108.134.180,20480,0,0,1438.0,86736.0,23.9666666666667,1445.6,
95.108.245.251,20480,0,0,1436.0,94776.0,23.9333333333333,1579.6,
158.108.22.9,12532,0,1,1436.0,94776.0,23.9333333333333,1579.6,
177.148.244.189,47009,0,0,1434.0,2110976.0,23.9,35182.9333333333,
158.108.181.46,45572,0,1,1434.0,2110976.0,23.9,35182.9333333333,
202.28.85.77,28894,0,1,1432.0,86364.0,23.8666666666667,1439.4,
158.108.127.135,20480,0,0,1432.0,96076.0,23.8666666666667,1601.26666666667,
111.223.33.231,36040,0,1,1432.0,96076.0,23.8666666666667,1601.26666666667,
103.28.55.19,32105,0,1,1419.0,221947.0,23.65,3699.11666666667,
158.108.140.36,5026,0,0,1414.0,1958068.0,23.5666666666667,32634.4666666667,
176.45.55.234,16263,0,1,1414.0,1958068.0,23.5666666666667,32634.4666666667,
158.108.181.46,45572,0,0,1404.0,88680.0,23.4,1478.0,
177.148.244.189,47009,0,1,1404.0,88680.0,23.4,1478.0,
111.223.35.178,39576,0,0,1402.0,612725.0,23.3666666666667,10212.0833333333,
203.144.174.72,43748,0,1,1400.0,84000.0,23.3333333333333,1400.0,
158.108.4.119,20480,0,0,1391.0,85070.0,23.1833333333333,1417.83333333333,
202.28.85.79,59659,0,1,1374.0,84165.0,22.9,1402.75,
158.108.13.187,20480,0,0,1359.0,87167.0,22.65,1452.78333333333,
1.4.152.246,20480,0,1,1358.0,1974532.0,22.6333333333333,32908.8666666667,
203.144.174.72,20444,0,1,1357.0,81420.0,22.6166666666667,1357.0,
202.28.85.78,47878,0,1,1356.0,86987.0,22.6,1449.78333333333,
158.108.118.147,36615,0,0,1339.0,83653.0,22.3166666666667,1394.21666666667,
122.155.18.163,34758,0,1,1339.0,83653.0,22.3166666666667,1394.21666666667,
74.125.128.94,42208,0,0,1337.0,1872000.0,22.2833333333333,31200.0,
158.108.159.24,47873,0,0,1329.0,79845.0,22.15,1330.75,
74.125.213.245,20946,0,1,1329.0,79845.0,22.15,1330.75,
158.108.130.4,20480,0,0,1325.0,79500.0,22.0833333333333,1325.0,
158.108.133.64,59824,0,0,1324.0,1925448.0,22.0666666666667,32090.8,
180.44.59.134,985,0,1,1324.0,1925448.0,22.0666666666667,32090.8,
158.108.157.12,20480,0,0,1322.0,79916.0,22.0333333333333,1331.93333333333,
202.28.85.78,44027,0,1,1322.0,79916.0,22.0333333333333,1331.93333333333,
110.164.180.32,48139,0,1,1322.0,79320.0,22.0333333333333,1322.0,
158.108.45.241,20480,0,0,1315.0,103167.0,21.9166666666667,1719.45,
202.28.85.14,46277,0,1,1310.0,96523.0,21.8333333333333,1608.71666666667,
158.108.108.116,20480,0,0,1309.0,86954.0,21.8166666666667,1449.23333333333,
58.64.51.10,43524,0,0,1295.0,174825.0,21.5833333333333,2913.75,
158.108.4.243,11268,0,1,1295.0,174825.0,21.5833333333333,2913.75,
110.77.215.112,22897,0,0,1294.0,83774.0,21.5666666666667,1396.23333333333,
158.108.47.82,10829,0,1,1294.0,83774.0,21.5666666666667,1396.23333333333,
158.108.245.22,20480,0,0,1293.0,77580.0,21.55,1293.0,
110.164.180.147,48328,0,1,1293.0,77580.0,21.55,1293.0,
61.91.88.49,16345,0,0,1288.0,88840.0,21.4666666666667,1480.66666666667,
158.108.37.180,4741,0,1,1288.0,88840.0,21.4666666666667,1480.66666666667,
158.108.124.150,20480,0,0,1287.0,85408.0,21.45,1423.46666666667,
110.164.180.135,18166,0,1,1283.0,76980.0,21.3833333333333,1283.0,
158.108.180.135,20480,0,0,1282.0,80098.0,21.3666666666667,1334.96666666667,
158.108.99.179,20480,0,0,1277.0,83644.0,21.2833333333333,1394.06666666667,
202.28.85.76,59329,0,1,1277.0,83644.0,21.2833333333333,1394.06666666667,
203.114.99.9,59340,0,1,1272.0,78424.0,21.2,1307.06666666667,
158.108.124.34,47873,0,1,1271.0,1705623.0,21.1833333333333,28427.05,
199.80.53.118,33543,0,1,1263.0,75780.0,21.05,1263.0,
158.108.140.94,47873,0,0,1251.0,82457.0,20.85,1374.28333333333,
74.125.213.210,19396,0,1,1251.0,82457.0,20.85,1374.28333333333,
158.108.4.227,6359,0,0,1243.0,1621525.0,20.7166666666667,27025.4166666667,
110.171.69.109,43524,0,1,1243.0,1621525.0,20.7166666666667,27025.4166666667,
158.108.219.15,48078,0,1,1238.0,93668.0,20.6333333333333,1561.13333333333,
223.206.245.64,29058,0,0,1232.0,81149.0,20.5333333333333,1352.48333333333,
